city,average_price
 Dakshin Khan,5829585.0
 Agargaon,6940875.0
 Bashundhara R-A,17731860.0
 Uttara,15397531.0
 Mirpur,6945779.0
 Aftab Nagar,11669435.0
 Banasree,11515800.0
 Mohammadpur,8873796.0
 Badda,9674614.0
 Bashabo,6781250.0
 Cantonment,6461588.0
 Kafrul,6975000.0
 Lalmatia,27865000.0
 Khilkhet,6924778.0
 Ibrahimpur,5751308.0
 Banani DOHS,66666667.0
 Adabor,8188133.0
 Baridhara DOHS,36333333.0
 Niketan,21500000.0
 Kathalbagan,14820000.0
 Savar,4918000.0
 Hazaribag,8839818.0
 Dhanmondi,16273611.0
 Lalbagh,12176000.0
 Motijheel,9679800.0
 Shantinagar,14147667.0
 Kalabagan,12466667.0
 Gulshan,58562500.0
 Shyamoli,12690000.0
 Shyampur,5776875.0
 Jatra Bari,6500000.0
 Rampura,8151429.0
 Maghbazar,10367500.0
 Hatirpool,9700000.0
 Banani,33250000.0
 Turag,7155556.0
 North Shahjahanpur,7000000.0
 Sutrapur,4000000.0
 Keraniganj,6700000.0
 Shiddheswari,10083333.0
 Khilgaon,9150000.0
 Malibagh,12110500.0
 Kachukhet,4811500.0
 Eskaton,26900000.0
 Joar Sahara,6500000.0
 Tejgaon,11402500.0
 Demra,6866667.0
 Maniknagar,6900000.0
 Dumni,2755300.0
 Shegunbagicha,21000000.0
 Nadda,12675000.0
 Mohakhali,4250000.0
